metric,rsa_mean_us,rsa_median_us,pq_mean_us,pq_median_us,delta_pct
Verifier,61.298045,55.824,103.08953,98.509,68.17751691754606
Gesamtflow,37131.092995,37500.188,27485.338854999998,27024.427,-25.97756586723391
