operation,rsa_client_mean_us,pq_client_mean_us,client_delta_pct,rsa_internal_mean_us,pq_internal_mean_us,internal_delta_pct,rsa_outside_mean_us,pq_outside_mean_us
EK Create,1302.403905,1107.8262300000001,-14.939887254100315,29.576195,27.319720000000004,-7.629362059588783,1272.82771,1080.50651
AK Create,1264.09144,1104.6984,-12.609296681891932,24.399749999999997,25.21233,3.330280023360912,1239.6916899999999,1079.48607
MakeCredential,1324.3548999999998,1136.626005,-14.175119901772536,72.68104,64.002855,-11.940094693196464,1251.6738599999999,1072.6231500000001
ActivateCredential,4007.52624,1153.46515,-71.21752719952246,2729.758555,95.79065,-96.49087462975274,1277.767685,1057.6745
Quote,3959.242825,1470.387205,-62.86190895603884,2684.0401199999997,373.043005,-86.10143707538917,1275.202705,1097.3442
