run,profile,verifier_ns,full_flow_ns
94,Full PQ (ML-KEM-768 / ML-DSA-65),98824,26462641
95,Full PQ (ML-KEM-768 / ML-DSA-65),100417,29191249
96,Full PQ (ML-KEM-768 / ML-DSA-65),99385,28543527
97,Full PQ (ML-KEM-768 / ML-DSA-65),97922,27679868
98,Full PQ (ML-KEM-768 / ML-DSA-65),130343,28708084
99,Full PQ (ML-KEM-768 / ML-DSA-65),113140,26263050
100,Full PQ (ML-KEM-768 / ML-DSA-65),129221,27277689
101,Full PQ (ML-KEM-768 / ML-DSA-65),98894,28681043
102,Full PQ (ML-KEM-768 / ML-DSA-65),161741,26233164
103,Full PQ (ML-KEM-768 / ML-DSA-65),98533,25854739
104,Full PQ (ML-KEM-768 / ML-DSA-65),97662,25684381
105,Full PQ (ML-KEM-768 / ML-DSA-65),96710,26149949
106,Full PQ (ML-KEM-768 / ML-DSA-65),98103,27931697
107,Full PQ (ML-KEM-768 / ML-DSA-65),98112,26831619
108,Full PQ (ML-KEM-768 / ML-DSA-65),98313,27062047
109,Full PQ (ML-KEM-768 / ML-DSA-65),98032,27102283
110,Full PQ (ML-KEM-768 / ML-DSA-65),104685,27361476
111,Full PQ (ML-KEM-768 / ML-DSA-65),98002,26974645
112,Full PQ (ML-KEM-768 / ML-DSA-65),97221,26220029
113,Full PQ (ML-KEM-768 / ML-DSA-65),98714,29144978
114,Full PQ (ML-KEM-768 / ML-DSA-65),98183,29001570
115,Full PQ (ML-KEM-768 / ML-DSA-65),99325,27411379
116,Full PQ (ML-KEM-768 / ML-DSA-65),98444,26890989
117,Full PQ (ML-KEM-768 / ML-DSA-65),99626,26783008
118,Full PQ (ML-KEM-768 / ML-DSA-65),97211,25758079
119,Full PQ (ML-KEM-768 / ML-DSA-65),97983,26348115
120,Full PQ (ML-KEM-768 / ML-DSA-65),99034,25980714
121,Full PQ (ML-KEM-768 / ML-DSA-65),96710,26690235
122,Full PQ (ML-KEM-768 / ML-DSA-65),112259,28365756
123,Full PQ (ML-KEM-768 / ML-DSA-65),98504,31164670
124,Full PQ (ML-KEM-768 / ML-DSA-65),98364,27149380
125,Full PQ (ML-KEM-768 / ML-DSA-65),98493,27138630
126,Full PQ (ML-KEM-768 / ML-DSA-65),167772,26838995
127,Full PQ (ML-KEM-768 / ML-DSA-65),121917,31507984
128,Full PQ (ML-KEM-768 / ML-DSA-65),98554,28690411
